"attempt","surface","radius_mm","conic","x_mm","y_mm","z_mm","rx_rad","clear_radius_mm","status"
"1","primary","-600","-0.840995445617429","0","0","180","0","65","screening only; not frozen"
"1","secondary","-478.0942555280364","-6.180802768359784","0","0","0","0","29","screening only; not frozen"
"1","tertiary","-160.38727805134548","-0.32722674264084056","0","0","382.07986426391267","0.09001582791972418","45","screening only; not frozen"
"1","detector","inf","0","0","33.26379206846026","199.1805815501084","0.18003165583944836","active 11.22304 x 8.22","screening only; not frozen"
"2","primary","-600","-0.8574625794353831","0","0","180","0","65","screening only; not frozen"
"2","secondary","-477.603690869669","-6.4856025581706085","0","0","0","0","29","screening only; not frozen"
"2","tertiary","-159.52952937231532","-0.10541816467710512","0","-8.32252756577959","381.3301594981525","0.06438837113466701","45","screening only; not frozen"
"2","detector","inf","0","0","4.504456997934451","197.1157025053452","0.080684397240459","active 11.22304 x 8.22","screening only; not frozen"
"3","primary","-600","-0.8821841494285914","0","0","180","0","65","screening only; not frozen"
"3","secondary","-472.01225463041783","-7.2172185719040245","0","0","0","0.003321337799273008","29","screening only; not frozen"
"3","tertiary","-154.82013878810892","-0.1611245321054552","0","-6.835848600005014","380.68168955580427","0.07157083555839461","45","screening only; not frozen"
"3","detector","inf","0","0","11.827510399667744","203.4559840357358","0.06458953034651733","active 11.22304 x 8.22","screening only; not frozen"
"4","primary","-600","-0.9119674941020531","0","0","180","0","65","screening only; not frozen"
"4","secondary","-472.4969329298697","-7.137298129315123","0","0","0","0.0037361916901489374","29","screening only; not frozen"
"4","tertiary","-154.65760202410442","-0.12790384353751186","0","-6.565922891319395","380.42760673733846","0.07307935808556265","45","screening only; not frozen"
"4","detector","inf","0","0","13.20801395166082","203.527460542321","0.0710620490213513","active 11.22304 x 8.22","screening only; not frozen"
"5","primary","-599.9968417298016","-0.9119600168057802","0","0","179.99936991209717","0","65","screening only; not frozen"
"5","secondary","-472.4963659262285","-7.137361515982083","0","0","0","0.0037362842844745896","29","screening only; not frozen"
"5","tertiary","-154.6579842963838","-0.12794355830108042","0","-6.565813808528285","380.4271875930624","0.07307999351409164","45","screening only; not frozen"
"5","detector","inf","0","0","13.208557361721127","203.5271954338563","0.07106556912700916","active 11.22304 x 8.22","screening only; not frozen"
