parameter,diagnostic_step,unit,minus_worst_RMS_um,plus_worst_RMS_um,ray_coordinate_slope_um_per_unit,nonlinearity_fraction,plus_focus_RMS_um,plus_3comp_RMS_um
primary_z,0.01,mm,4.901844152040149,4.911556128494178,323.8988050389532,1.8626974082119004e-06,0.5405430222830686,0.5405430222833928
primary_x,0.01,mm,0.639955979259112,0.6399559792575782,18.103874917909422,0.00044453979929817125,0.6399751849217702,0.593159649659686
primary_y,0.01,mm,0.6373491937958772,0.6373491937952408,18.082573098886165,0.00044113943846177677,0.6373690788876151,0.5910695639495867
primary_tx,0.0001,rad,0.9214844184743424,0.9214844184757527,5036.987361313699,0.0029564678863794828,0.9214710976331478,0.658380258767206
primary_ty,0.0001,rad,0.9234303083609757,0.9234303083512341,5041.475856223031,0.00299103650526281,0.9234218970826937,0.6861321771176593
secondary_z,0.01,mm,5.5035340361306755,5.492550026687286,365.82491452211,2.0526844446840005e-05,0.6812970679408578,0.6812970679400934
secondary_x,0.01,mm,0.636435720990643,0.6364357209896646,18.387072615822085,0.0008261789910600157,0.6363957980464525,0.6020360698931598
secondary_y,0.01,mm,0.634427813221128,0.6344278132208904,18.25038179698962,0.0008318920726597266,0.6343828193935344,0.5976747591483573
secondary_tx,0.0001,rad,0.6259485224073268,0.6259485224069099,1562.7951319597282,0.0030320314489566316,0.6261148652634089,0.576445577494487
secondary_ty,0.0001,rad,0.6284165389890456,0.6284165389854971,1568.5188576671203,0.0030496204296931455,0.628591769445555,0.5764467149795649
lens1_z,0.01,mm,0.6394542020316893,0.5579166009523092,11.61015888450423,0.0001662394172183513,0.5843230297218279,0.5843230297218212
lens1_x,0.01,mm,0.5944662821302554,0.5944662821317138,1.1493226822953284,0.0002708362564588855,0.5944665880753514,0.5942072221370324
lens1_y,0.01,mm,0.5898021947030391,0.5898021947045657,1.1391839979561524,0.0002740469318093443,0.5898025047833455,0.58960349344165
lens1_tx,0.0001,rad,0.5794637454101845,0.5794637454111495,70.55216771976049,0.00016798522523547152,0.5794632604990719,0.5794202589344646
lens1_ty,0.0001,rad,0.5806400699468407,0.5806400699476314,87.11627660093798,0.0001369944359454033,0.5806395722343236,0.5805559441055652
lens2_z,0.01,mm,0.5750625776404147,0.5986057629484428,7.446685346569145,0.0006006586986600005,0.5562720671146254,0.5562720671146518
lens2_x,0.01,mm,0.588848505851644,0.5888485058515678,1.9654122448931146,0.0009754994480216039,0.5888552545716284,0.5888922549087074
lens2_y,0.01,mm,0.5854989728790997,0.5854989728774644,1.5939079373958254,0.0011903619310420326,0.5855060518071525,0.5855034111934713
lens2_tx,0.0001,rad,0.577053961974373,0.5770539619757127,53.60233214539788,0.00017297725146926294,0.5770542615731762,0.577088327288661
lens2_ty,0.0001,rad,0.5773467343430561,0.5773467343427745,66.61456782500622,0.0001660449576832882,0.5773470846116682,0.5774081302706129
corrector_z,0.01,mm,0.608767200543759,0.5483178808410287,4.225538163876369,0.0004321544932515049,0.5641918343674598,0.5641918343674598
detector_z,0.01,mm,0.9904097912908333,1.0487757259097883,46.12291694132071,1.0511887895756328e-11,0.5762891545459967,0.5762891545458594
detector_x,0.01,mm,0.5762891545463672,0.576289154546095,5.2337116713257634e-11,3.2062033024720407,0.576289154546095,0.576289154546095
detector_y,0.01,mm,0.5762891545474726,0.5762891545464999,1.8027223767449786e-10,0.40604915980260153,0.5762891545464999,0.5762891545464999
detector_tx,0.0001,rad,0.5850957533092833,0.5850957533073046,155.04642054499203,6.225517167397672e-06,0.5850957262204846,0.5850356792695542
detector_ty,0.0001,rad,0.5885860274841512,0.5885860274833641,211.68657523356353,7.374255819010426e-06,0.5885859749736303,0.5884264188500997
s2_radius,0.0001,fractional radius,13.963551311756602,13.918150569155959,96368.54152079856,9.789017780743017e-05,0.8585931906430119,0.8585931906460159
s2_conic,0.001,absolute K,0.905177718097493,0.9768376607695752,412.2348414221547,6.934042779863046e-06,0.5746591481921769,0.5746591481920746
s3_radius,0.0001,fractional radius,3.2497572751613037,3.257815524006304,20653.771018099855,9.765384509716217e-05,0.5369054276142488,0.5369054276130755
s3_conic,0.001,absolute K,0.5920971542408173,0.5652876032739511,37.89014604934126,3.0679092969381484e-06,0.5788578777332727,0.5788578777335095
s5_radius,0.0001,fractional radius,0.5839063959501604,0.5701853923441962,211.8789554992716,9.967421183583855e-05,0.578604113579548,0.5786041135806187
s6_radius,0.0001,fractional radius,0.5750767430944566,0.5775547190489589,39.28249316579039,9.931890852678686e-05,0.5758259811240383,0.5758259811235016
s7_radius,0.0001,fractional radius,0.5761743297106696,0.5764649026061676,36.57720515721389,0.00010568185551888747,0.5748761368026746,0.5748761368026879
s8_radius,0.0001,fractional radius,0.5762932531406196,0.5762850600419475,0.26787675533535643,9.983693444889525e-05,0.5762737507428383,0.5762737507425811
s5_index,0.0001,absolute index,0.567611693153247,0.5866886376171364,233.8476780548367,1.6999753570941204e-05,0.5756983439274395,0.5756983439271357
s5_thickness,0.01,mm,0.6872647403668223,0.5636125659230589,16.213845893102324,2.638699113315961e-05,0.5813133892140369,0.5813133892140369
s7_index,0.0001,absolute index,0.581128405916843,0.5718061531266253,106.62910235716963,4.319097216067014e-05,0.5762512513781315,0.5762512513789687
s7_thickness,0.01,mm,0.7033294931458507,0.5845183100816981,17.715771490077785,1.9125239945135907e-06,0.5708394301096427,0.5708394301093735
