parameter,diagnostic_step,unit,minus_worst_RMS_um,plus_worst_RMS_um,ray_coordinate_slope_um_per_unit,nonlinearity_fraction,plus_focus_RMS_um,plus_3comp_RMS_um
primary_z,0.01,mm,5.312680388440162,5.693078006603463,320.07106315435493,4.961688282377744e-06,1.6571682180025025,1.429887803640746
primary_x,0.01,mm,1.9839032932417118,1.9839032932123755,77.46206117102807,0.00014419328312969285,1.98385793636043,1.3985764692752192
primary_y,0.01,mm,3.2859017104470185,3.3356710857423413,157.96810154388533,5.262772664581409e-05,1.628944193514369,1.2962521337207746
primary_tx,0.0001,rad,3.7422232466400533,3.676304524295879,21676.375426604274,0.0008169672932817813,3.6760137885361917,1.2756931816299668
primary_ty,0.0001,rad,3.420866009774499,3.4208660098030452,19794.428961080426,0.0008063935427824673,3.420679954045463,1.4952993505147314
primary_clock,0.0001,rad,1.6514182306026062,1.6514182305437741,4346.552906310541,9.704611709787878e-05,1.6514193297652984,1.3758042278314977
secondary_z,0.01,mm,7.615631079024913,7.23690040844238,456.71009134303347,5.475825954310682e-05,1.4080808674047123,1.2767469235443265
secondary_x,0.01,mm,1.794870931001822,1.7948709309736453,57.022359822293424,0.0003969086032633568,1.7950126367405006,1.4157645489079231
secondary_y,0.01,mm,2.748470489588974,2.7350165592649542,114.70600656120317,0.000152937384360006,1.7355020581763314,1.413207900343314
secondary_tx,0.0001,rad,1.8172758709503203,1.918297864223104,5982.576411005434,0.0005048514084984334,1.6772376655563959,1.3411784912725575
secondary_ty,0.0001,rad,1.6493138516808348,1.649313851824105,4864.726496503061,0.0005912135867317281,1.6491784238866514,1.3413443651377357
secondary_clock,0.0001,rad,1.36231329844647,1.3623132983944186,322.27728211448755,9.570970360502207e-05,1.3623132427829168,1.3496642008602628
tertiary_z,0.01,mm,3.4449632060037816,3.6924734592764206,178.17226328443616,4.495590152503667e-05,1.373234051417594,1.335516018290295
tertiary_x,0.01,mm,1.4338982737010808,1.433898273680775,20.85840788285144,0.00014484398128102385,1.433891490543235,1.3636890480391468
tertiary_y,0.01,mm,1.7881009703990296,1.7879316637393854,43.352480060571295,7.097530449970048e-05,1.4566156312038512,1.3499692720988525
tertiary_tx,0.0001,rad,1.5885768035863461,1.7471032480778654,4105.524826737971,0.0007259377747762177,1.5162484973783352,1.3860051259231718
tertiary_ty,0.0001,rad,1.4588773647403974,1.458877364758972,2158.6506577211594,0.001248184449017597,1.4590287587652588,1.349649958495636
tertiary_clock,0.0001,rad,1.351090783530298,1.3510907835478927,409.36802775208247,9.331160029448818e-05,1.3510908860879904,1.349175141052866
detector_z,0.01,mm,1.8069866378458588,1.73477177544355,41.39776600455423,1.4423361315618167e-11,1.3414442184224027,1.341444218422424
detector_x,0.01,mm,1.3414442184222695,1.341444218422536,1.0887998687564905e-10,1.0492015328410802,1.341444218422536,1.341444218422536
detector_y,0.01,mm,1.341444218422791,1.3414442184220141,1.3717732870252123e-10,0.5555070333007308,1.3414442184224058,1.3414442184229234
detector_tx,0.0001,rad,1.3549824241924557,1.3281968352978897,138.9786452315905,2.4747919816223258e-05,1.3280177950203707,1.32780701307263
detector_ty,0.0001,rad,1.3599769715055732,1.359976971490959,189.72632852391223,1.3098183113201401e-05,1.3599770544521121,1.3603645985349961
s2_radius,0.0001,fractional radius,12.697182074249755,12.232332985826602,81603.1793498166,7.536193277869821e-05,2.0063932069205155,1.1717407722035968
s2_conic,0.001,absolute K,8.837504711855987,8.68414465068056,5435.357334344953,7.331004264233584e-05,3.799915481369785,1.3440261812247283
s3_radius,0.0001,fractional radius,1.5079933775470318,1.6009667013896844,2592.452869033054,8.700116533000425e-05,1.4091744524391665,1.3732444147009812
s3_conic,0.001,absolute K,1.3063757854060656,1.3773148640964783,28.230366016171082,1.2394273532124988e-05,1.3571835132674614,1.3527228968306877
s4_radius,0.0001,fractional radius,5.791592833094889,5.490967142083988,32810.57996054976,0.000105276495663032,1.3129394891267037,1.3534656513747654
s4_conic,0.001,absolute K,3.379090621122939,4.2405125444499605,1925.740746352233,8.142571863705385e-05,2.195035450172587,1.6454190419502115
