mirror_reflectance_each,splitter_useful_port_efficiency,two_mirror_no_splitter,two_mirror_plus_splitter,three_mirror_plus_splitter,classification
0.88,0.85,0.7744,0.6582399999999999,0.5792512,"coating-count sensitivity only; excludes relays, windows, glass, QE, polarization and obscuration"
0.88,0.9,0.7744,0.69696,0.6133248,"coating-count sensitivity only; excludes relays, windows, glass, QE, polarization and obscuration"
0.88,0.95,0.7744,0.7356799999999999,0.6473983999999999,"coating-count sensitivity only; excludes relays, windows, glass, QE, polarization and obscuration"
0.9,0.85,0.81,0.6885,0.61965,"coating-count sensitivity only; excludes relays, windows, glass, QE, polarization and obscuration"
0.9,0.9,0.81,0.7290000000000001,0.6561000000000001,"coating-count sensitivity only; excludes relays, windows, glass, QE, polarization and obscuration"
0.9,0.95,0.81,0.7695,0.6925500000000001,"coating-count sensitivity only; excludes relays, windows, glass, QE, polarization and obscuration"
0.92,0.85,0.8464,0.71944,0.6618848,"coating-count sensitivity only; excludes relays, windows, glass, QE, polarization and obscuration"
0.92,0.9,0.8464,0.7617600000000001,0.7008192000000001,"coating-count sensitivity only; excludes relays, windows, glass, QE, polarization and obscuration"
0.92,0.95,0.8464,0.80408,0.7397536,"coating-count sensitivity only; excludes relays, windows, glass, QE, polarization and obscuration"
0.95,0.85,0.9025,0.767125,0.7287687499999999,"coating-count sensitivity only; excludes relays, windows, glass, QE, polarization and obscuration"
0.95,0.9,0.9025,0.81225,0.7716374999999999,"coating-count sensitivity only; excludes relays, windows, glass, QE, polarization and obscuration"
0.95,0.95,0.9025,0.8573749999999999,0.8145062499999999,"coating-count sensitivity only; excludes relays, windows, glass, QE, polarization and obscuration"
0.98,0.85,0.9603999999999999,0.81634,0.8000131999999999,"coating-count sensitivity only; excludes relays, windows, glass, QE, polarization and obscuration"
0.98,0.9,0.9603999999999999,0.8643599999999999,0.8470728,"coating-count sensitivity only; excludes relays, windows, glass, QE, polarization and obscuration"
0.98,0.95,0.9603999999999999,0.9123799999999999,0.8941323999999998,"coating-count sensitivity only; excludes relays, windows, glass, QE, polarization and obscuration"
