variant,primary_speed,afocal_compression,primary_clear_diameter_mm,secondary_clear_diameter_mm,primary_hole_diameter_mm,secondary_to_eo_pupil_diameter_ratio,eo_center_survival,eo_min_survival,swir_center_survival,swir_min_survival,backend_eo_diagonal_half_field_deg
direct_D1_f2p4_b200,2.4,,315.49152434155286,117.54183800071176,47.387593899163356,0.9175985090639506,0.16666666666666666,0.16666666666666666,0.8541666666666666,0.8541666666666666,not modeled
direct_D2_f1p5_b75,1.5,,314.41909075297195,76.30077537264448,36.24132844324456,0.5956472938762283,0.6458333333333334,0.6458333333333334,0.9375,0.9375,not modeled
direct_D3_f1p0_b50,1.0,,313.5131835557268,55.116394676406046,34.412505576325344,0.4302699569811406,0.8125,0.8125,0.9583333333333334,0.9583333333333334,not modeled
afocal_A4_f2p0,2.0,4.0,315.3428709519753,84.35867202108065,100.28946627978317,0.6585518228215018,0.3958333333333333,0.3958333333333333,0.8958333333333334,0.7252604166666666,2.0071677541636452
afocal_A6_f2p0,2.0,6.0,315.7832472992914,58.765014960483654,88.35769691772046,0.4587531642353085,0.5208333333333334,0.031032986111111112,0.9166666666666666,0.5193142361111112,3.010751631245468
afocal_A8_f2p0,2.0,8.0,316.0034353842038,45.93927969016784,104.9530897316512,0.3586281724717847,0.3333333333333333,0.0,0.8958333333333334,0.287109375,4.0143355083272905
afocal_A10_f2p0,2.0,10.0,316.13554820672425,38.233920498027395,123.59960470741946,0.29847575162511164,0.0625,0.0,0.8333333333333334,0.03298611111111111,5.0179193854091135
afocal_A6_f1p5,1.5,6.0,314.6545550993853,57.49790812691132,77.38541608601845,0.44886140687395365,0.625,0.4092881944444444,0.9375,0.6286892361111112,3.010751631245468
afocal_A6_f1p0,1.0,6.0,313.49872482833655,56.24872580522958,69.57996955194885,0.4391095784576134,0.7083333333333334,0.7083333333333334,0.9583333333333334,0.7330729166666666,3.010751631245468
afocal_A8_f1p0,1.0,8.0,313.6087607901188,43.397532336987204,61.95946311920223,0.3387858455066264,0.7708333333333334,0.057291666666666664,0.9583333333333334,0.5724826388888888,4.0143355083272905
